mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
54301,Overtake!,2023,Original,Drama,12,70700,44339,Q2,0.627,0.4052,0.0067,0.8236,0.5192,Нишевые любимчики,Дебют
51956,Paradox Live the Animation,2023,Mixed media,Drama,12,42289,19856,Q2,0.4693,0.2417,0.0103,0.7223,0.3485,Нишевые любимчики,Дебют
50380,Paripi Koumei,2022,Web manga,Comedy,12,322820,236623,Q4 крупные,0.733,0.5505,0.0081,0.8993,0.7657,Флагманы,Дебют
57944,"Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki",2024,Light novel,Action,12,86298,69682,Q3,0.807,0.537,0.0016,0.8638,0.5507,Надёжный просмотр,Дебют
42627,Peach Boy Riverside,2021,Manga,Action,12,197829,140759,Q3,0.7114,0.439,0.0035,0.8385,0.4971,Остальные,Дебют
37522,Pet,2020,Manga,Mystery,13,98486,58439,Q2,0.5933,0.3085,0.0027,0.7296,0.208,Остальные,Дебют
40436,Peter Grill to Kenja no Jikan,2020,Manga,Comedy,12,218339,166326,Q4 крупные,0.7617,0.5162,0.0036,0.8325,0.6094,Надёжный просмотр,Дебют
50348,Peter Grill to Kenja no Jikan: Super Extra,2022,Manga,Comedy,12,68746,46694,Q2,0.6791,0.4681,0.003,0.8763,0.4656,Остальные,Продолжение
44961,Platinum End,2021,Manga,Drama,24,410661,280406,Q4 крупные,0.6827,0.3079,0.0062,0.8343,0.4956,Нишевые любимчики,Дебют
37345,Plunderer,2020,Manga,Action,24,477218,364566,Q4 крупные,0.7638,0.5044,0.0034,0.8571,0.5898,Надёжный просмотр,Дебют
53874,Pokemon: Mezase Pokemon Master,2023,Game,Action,11,28535,20890,Q2,0.7318,0.6231,0.0047,0.9162,0.703,Надёжный просмотр,Продолжение
55397,Pon no Michi,2024,Original,Slice of Life,12,35341,18442,Q1 малые,0.5216,0.2451,0.004,0.6782,0.211,Остальные,Дебют
50663,Poputepipikku 2nd Season,2022,4-koma manga,Comedy,11,48786,30054,Q2,0.616,0.4382,0.0032,0.8575,0.3706,Остальные,Продолжение
54616,Potion-danomi de Ikinobimasu!,2023,Light novel,Adventure,12,55094,46323,Q2,0.8407,0.6603,0.0014,0.8887,0.6276,Надёжный просмотр,Дебют
50917,Prima Doll,2022,Mixed media,Sci-Fi,12,37962,20785,Q2,0.5475,0.3084,0.0052,0.7366,0.3182,Остальные,Дебют
39292,Princess Connect! Re:Dive,2020,Game,Adventure,13,310117,222911,Q4 крупные,0.7187,0.4983,0.0034,0.8665,0.5462,Остальные,Дебют
42670,Princess Connect! Re:Dive Season 2,2022,Game,Adventure,12,138586,87492,Q3,0.6312,0.4644,0.006,0.8854,0.5525,Нишевые любимчики,Продолжение
42825,Project Scard: Praeter no Kizu,2021,Mixed media,Action,13,36625,19756,Q2,0.5394,0.2398,0.004,0.6506,0.2156,Остальные,Дебют
44235,Pui Pui Molcar,2021,Other,Comedy,12,18991,15692,Q1 малые,0.8261,0.679,0.0157,0.9449,0.9319,Флагманы,Дебют
51986,Pui Pui Molcar: Driving School,2022,Original,Comedy,12,5882,4092,Q1 малые,0.6958,0.5615,0.0051,0.9102,0.6564,Надёжный просмотр,Продолжение
57517,Puniru wa Kawaii Slime,2024,Manga,Comedy,12,13782,8752,Q1 малые,0.6341,0.347,0.0035,0.7235,0.3345,Остальные,Дебют
