mal_id,episode,retention,title,segment,source,title_type
43299,1,0.9468,Wonder Egg Priority,Нишевые любимчики,Original,Дебют
43470,1,0.9263,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,Остальные,Web manga,Продолжение
43523,1,0.9623,Tsuki ga Michibiku Isekai Douchuu,Флагманы,Light novel,Дебют
43756,1,0.9485,Bakuten!!,Нишевые любимчики,Original,Дебют
43767,1,0.8945,Night Head 2041,Нишевые любимчики,Other,Дебют
43814,1,0.9467,Deatte 5-byou de Battle,Надёжный просмотр,Web manga,Дебют
43969,1,0.9433,Kanojo mo Kanojo,Флагманы,Manga,Дебют
44040,1,0.9351,Abciee Shuugyou Nikki,Надёжный просмотр,Other,Дебют
44055,1,0.9546,Sasaki to Miyano,Флагманы,Web manga,Дебют
44081,1,0.8026,B-Project: Netsuretsu*Love Call,Остальные,Mixed media,Дебют
44203,1,0.9586,Seirei Gensouki,Флагманы,Light novel,Дебют
44204,1,0.9239,Kyokou Suiri Season 2,Остальные,Manga,Продолжение
44235,1,0.9709,Pui Pui Molcar,Флагманы,Other,Дебют
44274,1,0.9186,Puraore! Pride of Orange,Остальные,Mixed media,Дебют
44276,1,0.945,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Надёжный просмотр,Light novel,Дебют
44387,1,0.9208,Sankaku Mado no Sotogawa wa Yoru,Нишевые любимчики,Manga,Дебют
44511,1,0.9774,Chainsaw Man,Флагманы,Manga,Дебют
44516,1,0.931,Koroshi Ai,Остальные,Manga,Дебют
44524,1,0.9448,Isekai Meikyuu de Harem wo,Флагманы,Light novel,Дебют
44881,1,0.9549,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Надёжный просмотр,Manga,Продолжение
45055,1,0.935,Taishou Otome Otogibanashi,Нишевые любимчики,Manga,Дебют
45425,1,0.9354,Slow Loop,Остальные,Manga,Дебют
45486,1,0.9477,Kuma Kuma Kuma Bear Punch!,Остальные,Light novel,Продолжение
45560,1,0.9231,Orient,Остальные,Manga,Дебют
45576,1,0.9791,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Флагманы,Light novel,Продолжение
45587,1,0.9549,Itazuraguma no Gloomy,Надёжный просмотр,Other,Дебют
45613,1,0.9423,Kawaii dake ja Nai Shikimori-san,Флагманы,Web manga,Дебют
45653,1,0.92,Soredemo Ayumu wa Yosetekuru,Остальные,Manga,Дебют
45665,1,0.8794,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Нишевые любимчики,Original,Дебют
46118,1,0.9263,Wave!! Surfing Yappe!! (TV),Остальные,Mixed media,Дебют
46352,1,0.9511,Blue Period,Флагманы,Manga,Дебют
46471,1,0.9248,"Tantei wa Mou, Shindeiru.",Нишевые любимчики,Light novel,Дебют
46604,1,0.8851,Dolls' Frontline,Остальные,Game,Дебют
46985,1,0.9464,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,Надёжный просмотр,Light novel,Дебют
47159,1,0.9474,Tensai Ouji no Akaji Kokka Saisei Jutsu,Надёжный просмотр,Light novel,Дебют
47160,1,0.9402,Goblin Slayer II,Нишевые любимчики,Light novel,Продолжение
47161,1,0.9507,Shikkakumon no Saikyou Kenja,Надёжный просмотр,Light novel,Дебют
47162,1,0.9124,Shokei Shoujo no Virgin Road,Остальные,Light novel,Дебют
47163,1,0.9397,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",Флагманы,Light novel,Дебют
47250,1,0.9234,Jouran: The Princess of Snow and Blood,Остальные,Original,Дебют
47257,1,0.9276,Shinigami Bocchan to Kuro Maid,Нишевые любимчики,Web manga,Дебют
47391,1,0.9243,Seven Knights Revolution: Eiyuu no Keishousha,Надёжный просмотр,Game,Дебют
47790,1,0.9652,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Флагманы,Light novel,Дебют
47917,1,0.9673,Bocchi the Rock!,Флагманы,4-koma manga,Дебют
48239,1,0.953,Leadale no Daichi nite,Надёжный просмотр,Light novel,Дебют
48252,1,0.9554,"Ore, Tsushima",Нишевые любимчики,Manga,Дебют
48363,1,0.91,RPG Fudousan,Остальные,4-koma manga,Дебют
48406,1,0.9377,Re-Main,Нишевые любимчики,Original,Дебют
48413,1,0.9373,Hataraku Maou-sama!!,Нишевые любимчики,Light novel,Продолжение
48414,1,0.9398,Sabikui Bisco,Остальные,Light novel,Дебют
48415,1,0.9519,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",Надёжный просмотр,Light novel,Дебют
48417,1,0.9225,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Нишевые любимчики,Light novel,Дебют
